OBJECTID,Tract_1,CIscore,HazScore,HealthScore,SVscore,CCVscore,Shape__Area,Shape__Length
1,6037920336,10,3,1,4,2,2438559.77734375,8124.37309127034
2,6037920044,4,1,1,1,1,1470811.18359375,5545.2984520509
3,6037573003,13,5,3,3,2,652816.796875,3310.74379315995
4,6037571704,13,3,2,4,4,699401.10546875,4113.47717495788
5,6037570403,17,5,3,5,4,831783.89453125,3887.00039443002
6,6037553503,15,3,4,4,4,617211.99609375,3495.39350816652
7,6037552302,14,4,2,3,5,1390240.3984375,5528.30345311442
8,6037503104,10,1,3,4,2,796205.62890625,4021.42999070724
9,6037550602,11,3,4,2,2,2158706.3515625,6127.08586071888
10,6037550601,17,5,5,3,4,1708499.08203125,5362.29164280899
11,6037550202,15,4,4,3,4,1843022.3203125,6142.42690917715
12,6037550201,14,4,4,4,2,828455.55078125,4717.91425624849
13,6037544002,12,4,4,2,2,1665108.3203125,5464.32057607047
14,6037544001,11,4,2,3,2,3321481.5,7654.75140878416
15,6037543905,13,5,2,5,1,3991429.828125,8906.91439379044
16,6037139504,14,3,3,3,5,425677.24609375,2990.05294701726
17,6037139503,13,2,3,3,5,514346.15234375,2989.99526242312
18,6037139401,15,4,3,3,5,1326637.13671875,4692.98114086763
19,6037137103,16,5,5,2,4,1116335.28125,4332.17542074195
20,6037134905,11,3,3,2,3,3781808.96875,8123.25189424083
21,6037134522,14,5,1,4,4,901787.640625,3792.03547803182
22,6037301206,11,2,2,3,4,1203668.3515625,4926.23273244888
23,6037301205,6,1,2,2,1,1134011.4765625,4711.88173397012
24,6037300301,7,3,1,1,2,9058500.7578125,15439.9125249836
25,6037501002,12,3,5,2,2,2139466,6116.66808074425
26,6037501001,10,3,3,3,1,1286366.70703125,4724.13114729789
27,6037500404,13,3,5,3,2,1740164.69140625,5384.53892337067
28,6037481606,16,4,4,4,4,1258140.78125,5460.24465727243
29,6037500403,13,2,5,3,3,3277205.26171875,10856.5562629977
30,6037433101,17,4,5,4,4,2281179.68359375,9439.26287087855
31,6037911001,9,1,2,2,4,552099515.46875,130939.781858944
32,6037910813,6,1,1,1,3,121867232.449219,61638.2835663466
33,6037910716,10,2,1,3,4,3660757.17578125,9140.48085524708
34,6037910715,12,3,1,3,5,2922800.51953125,7945.78652792299
35,6037910714,9,1,1,4,3,1492273.9921875,4992.65147748746
36,6037910711,11,1,1,5,4,5340709.99609375,10802.1966260858
37,6037910606,10,1,1,4,4,2013837.19921875,6015.30107565781
38,6037910605,10,1,1,4,4,1997102.24609375,5979.56996412365
39,6037135114,14,2,3,4,5,1859771.87109375,6704.69473895027
40,6037135113,12,1,4,3,4,935384.59375,4813.93194379419
41,6037134903,11,2,3,3,3,827371.0625,3859.13657006712
42,6037134521,15,5,1,5,4,515814.55078125,3022.73124406513
43,6037131701,13,4,1,4,4,966777.390625,3933.23954108166
44,6037128801,12,3,3,2,4,723414.5859375,3487.20855118448
45,6037127712,12,2,3,3,4,829288.578125,3619.66181579782
46,6037127606,15,3,4,4,4,801815.2421875,3595.7619833176
47,6037127604,17,4,3,5,5,637977.50390625,3643.24832867028
48,6037124903,13,2,4,2,5,453364.71484375,2878.42565082826
49,6037124204,15,5,4,3,3,474811.515625,2921.24294446311
50,6037124203,15,4,3,4,4,475305.20703125,2922.02275126736
51,6037124105,16,5,3,4,4,475396.85546875,2922.88935134452
52,6037124103,16,5,3,4,4,474531.46484375,2920.4632820148
53,6037122121,12,4,3,3,2,603970.37109375,4426.43764768711
54,6037121222,17,5,4,4,4,1969441.07421875,6732.06305085521
55,6037121221,14,4,4,4,2,733869.15625,4059.62031779571
56,6037121101,13,4,4,3,2,692384.2421875,3956.12474397745
57,6037120108,11,1,2,4,4,567606.59765625,3117.8024839736
58,6037481605,18,5,5,4,4,1117422.6953125,5146.49904668802
59,6037124902,15,3,4,3,5,496804.7890625,2971.10652437294
60,6037124104,18,5,4,4,5,475321.41796875,2922.27273104139
61,6037123902,14,4,4,2,4,965783.73046875,4296.38325771716
62,6037121102,12,4,1,2,5,11064800.7539063,13885.7022336891
63,6037106645,5,1,1,1,2,3713201.03515625,11139.4330776178
64,6037104204,14,4,2,4,4,3917809.359375,11164.0922568845
